Country,Year,Drought,Flood,Earthquake,Extreme weather,Extreme temperature,Volcanic activity,Wildfire,Glacial lake outburst flood,Dry mass movement,Wet mass movement,Fog
Albania,1910,0,0,0,0,0,0,0,0,0,0,0
Albania,1910,0,1,0,6,0,0,0,0,0,0,0
Albania,1910,0,0,0,0,3,0,0,0,0,0,0
Albania,1910,0,3,0,2,0,0,0,0,0,0,0
Albania,1910,0,0,0,0,0,0,0,0,0,0,0
Albania,1911,0,0,0,0,0,0,0,0,0,0,0
Albania,1911,0,1,0,0,0,0,0,0,0,0,0
Albania,1911,0,2,0,0,0,0,0,0,0,0,0
Albania,1911,0,1,0,0,6,0,0,0,0,0,0
Albania,1911,0,0,0,0,0,0,0,0,0,0,0
Albania,1911,0,0,0,0,0,0,0,0,0,0,0
Albania,1911,0,0,120,0,0,0,0,0,0,0,0
Albania,1911,0,0,200,0,0,0,0,0,0,0,0
Albania,1911,0,0,60,0,0,0,0,0,0,0,0
Albania,1911,0,0,90,0,0,0,0,0,0,0,0
Albania,1911,0,0,43,0,0,0,0,0,0,0,0
Albania,1911,0,0,15,0,0,0,0,0,0,0,0
Albania,1911,0,0,11,0,0,0,0,0,0,0,0
Albania,1911,0,0,35,0,0,0,0,0,0,0,0
Albania,1911,0,0,1,0,0,0,0,0,0,0,0
Albania,1911,0,0,0,0,0,0,0,0,0,0,0
Albania,1911,0,0,0,0,0,0,0,0,0,0,0
Albania,1911,0,0,51,0,0,0,0,0,0,0,0
Albania,1911,0,0,0,0,68,0,0,0,0,57,0
Albania,1911,0,0,0,0,0,0,0,0,0,0,0
Albania,1911,0,0,0,0,5,0,0,0,0,0,0
Albania,1911,0,0,0,0,352,0,0,0,0,0,0
Algeria,1911,0,43,0,0,0,0,0,0,0,0,0
Algeria,1911,0,37,0,0,0,0,0,0,0,0,0
Algeria,1911,0,0,0,0,0,0,0,0,0,0,0
Algeria,1911,0,3000,0,0,0,0,0,0,0,0,0
Algeria,1911,0,25,0,0,0,0,0,0,0,0,0
Algeria,1911,0,0,0,0,0,0,0,0,0,0,0
Algeria,1912,0,57,0,0,0,0,0,0,0,0,0
Algeria,1912,0,20,10,0,0,0,0,0,0,0,0
Algeria,1912,0,76,0,0,0,0,0,0,0,0,0
Algeria,1912,0,21,0,0,0,0,0,0,0,0,0
Algeria,1912,0,11,0,0,0,0,0,0,0,0,0
Algeria,1912,0,0,0,0,0,0,0,0,0,0,0
Algeria,1912,0,54,0,0,0,0,0,0,0,0,0
Algeria,1912,0,26,30,0,0,0,0,0,0,0,0
Algeria,1912,0,21,0,0,0,0,0,0,0,0,0
Algeria,1912,0,22,0,0,0,0,0,0,0,15,0
Algeria,1912,0,40,171,0,0,0,0,0,0,0,0
Algeria,1912,0,4,0,0,0,0,0,0,0,0,0
Algeria,1912,0,4,0,0,0,0,0,0,0,0,0
Algeria,1912,0,12,22,0,0,0,0,0,0,0,0
Algeria,1912,0,44,0,4,0,0,0,0,0,0,0
Algeria,1912,0,921,0,0,0,0,0,0,0,0,0
Algeria,1912,0,48,0,0,0,0,0,0,0,0,0
Algeria,1912,0,41,2275,13,40,0,0,0,0,0,0
Algeria,1912,0,22,0,0,0,0,0,0,0,0,0
Algeria,1912,0,12,0,10,0,0,0,0,0,0,0
Algeria,1912,0,1,4,0,0,0,0,0,0,0,0
Algeria,1912,0,82,0,0,0,0,0,0,0,0,0
Algeria,1912,0,93,0,0,0,0,0,0,0,0,0
Algeria,1913,0,48,0,0,0,0,0,0,0,0,0
Algeria,1913,0,10,0,0,0,0,0,0,0,0,0
Algeria,1913,0,69,0,0,0,0,0,0,0,0,0
Algeria,1913,0,12,0,0,0,0,0,0,0,0,0
Algeria,1913,0,6,0,0,0,0,0,0,0,0,0
Algeria,1913,0,13,0,0,0,0,0,0,0,0,0
Algeria,1913,0,8,0,0,0,0,0,0,0,0,0
Algeria,1913,0,0,0,0,0,0,0,0,0,0,0
Algeria,1913,0,0,12,0,0,0,0,0,0,0,0
Algeria,1913,0,0,276,0,0,0,0,0,0,0,0
Algeria,1913,0,0,1250,0,0,0,0,0,0,0,0
Algeria,1913,0,0,57,0,0,0,0,0,0,0,0
Algeria,1913,0,0,2,0,0,0,0,0,0,0,0
Algeria,1913,0,0,2633,0,0,0,0,0,0,0,0
Algeria,1913,0,0,1,0,0,0,0,0,0,0,0
Algeria,1913,0,0,0,0,0,0,0,0,0,0,0
Algeria,1913,0,0,22,0,0,0,0,0,0,0,0
Algeria,1913,0,0,6,0,0,0,0,0,0,0,0
Algeria,1913,0,0,0,0,0,0,0,0,0,0,0
Algeria,1913,0,0,0,0,0,0,0,0,0,0,0
Algeria,1913,0,0,0,0,8,0,0,0,0,0,0
Algeria,1913,0,0,0,0,0,0,0,0,0,0,0
American Samoa,1913,0,6,0,0,0,0,0,0,0,0,0
American Samoa,1913,0,0,34,0,0,0,0,0,0,0,0
American Samoa,1913,0,0,0,90,0,0,0,0,0,0,0
American Samoa,1914,0,0,0,0,0,0,0,0,0,0,0
American Samoa,1914,0,0,0,0,0,0,0,0,0,0,0
American Samoa,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,58,57,0,0,0,0,0,0,0,0,0
Angola,1914,0,28,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,9,0,0,0,0,0,0,0,0,0
Angola,1914,0,11,0,0,0,0,0,0,0,0,0
Angola,1914,0,35,0,0,0,0,0,0,0,0,0
Angola,1914,0,22,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,46,0,0,0,0,0,0,0,13,0
Angola,1914,0,8,0,0,0,0,0,0,0,0,0
Angola,1914,0,15,0,0,0,0,0,0,0,0,0
Angola,1914,0,0,0,0,0,0,0,0,0,0,0
Angola,1914,0,105,0,0,0,0,0,0,0,0,0
Angola,1914,0,7,0,0,0,0,0,0,0,0,0
Angola,1914,0,62,0,0,0,0,0,0,0,0,0
Angola,1915,0,25,0,0,0,0,0,0,0,0,0
Angola,1915,0,130,0,0,0,0,0,0,0,0,0
Angola,1915,0,75,0,0,0,0,0,0,0,0,0
Angola,1915,0,113,0,0,0,0,0,0,0,0,0
Angola,1915,0,8,0,0,0,0,0,0,0,0,0
Angola,1915,0,69,0,0,0,0,0,0,0,0,0
Angola,1915,0,84,0,0,0,0,0,0,0,0,0
Anguilla,1915,0,0,0,0,0,0,0,0,0,0,0
Anguilla,1915,0,0,0,0,0,0,0,0,0,0,0
Anguilla,1915,0,0,0,0,0,0,0,0,0,0,0
Anguilla,1915,0,0,0,0,0,0,0,0,0,0,0
Anguilla,1915,0,0,0,0,0,0,0,0,0,0,0
Anguilla,1915,0,0,0,0,0,0,0,0,0,0,0
Anguilla,1916,0,0,0,5,0,0,0,0,0,0,0
Anguilla,1916,0,0,0,0,0,0,0,0,0,0,0
Anguilla,1916,0,0,0,0,0,0,0,0,0,0,0
Anguilla,1916,0,0,0,4,0,0,0,0,0,0,0
Antigua and Barbuda,1916,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,1916,0,0,0,2,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,2,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,2,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,2,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,2,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,2,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,1917,0,0,0,1,0,0,0,0,0,0,0
Argentina,1917,0,27,0,12,0,0,0,0,0,0,0
Argentina,1918,0,9,0,10,0,0,0,0,0,4,0
Argentina,1918,0,0,0,2,0,0,0,0,0,0,0
Argentina,1918,2,6,0,0,0,0,0,0,0,0,0
Argentina,1918,2,3,0,0,0,0,0,0,0,0,0
Argentina,1918,4,0,0,0,0,0,0,0,0,0,0
Argentina,1918,0,360,0,0,0,0,0,0,0,0,0
Argentina,1918,0,62,0,0,0,0,0,0,0,0,0
Argentina,1918,0,56,0,0,0,0,0,0,0,0,0
Argentina,1918,0,36,0,0,0,0,0,0,0,0,0
Argentina,1918,0,0,70,0,0,0,0,0,0,0,0
Argentina,1919,0,0,0,5,0,0,0,0,0,0,0
Argentina,1919,0,0,0,0,0,0,0,0,0,0,0
Argentina,1919,0,41,0,0,0,0,0,0,0,0,0
Argentina,1919,0,0,0,0,0,0,0,0,0,0,0
Argentina,1919,0,0,0,0,0,0,0,0,0,0,0
Argentina,1919,0,37,6,0,0,0,0,0,0,0,0
Argentina,1919,0,3,0,1,0,0,0,0,0,0,0
Argentina,1919,0,0,0,1,0,0,0,0,0,0,0
Argentina,1919,0,25,0,0,0,0,0,0,0,0,0
Argentina,1919,0,21,0,0,0,0,0,0,0,0,0
Argentina,1920,0,45,0,0,0,0,0,0,0,0,0
Argentina,1920,0,0,0,15,0,0,0,0,0,0,0
Argentina,1920,0,0,0,6,0,0,0,0,0,0,0
Argentina,1920,0,0,0,0,0,0,0,0,0,0,0
Argentina,1920,0,19,0,0,0,0,0,0,0,0,0
Argentina,1920,0,13,0,1,15,0,0,0,0,0,0
Argentina,1920,0,1,0,20,14,0,0,0,0,0,0
Argentina,1920,0,4,0,3,0,0,0,0,0,0,0
Argentina,1920,0,5,0,0,5,0,0,0,0,0,0
Argentina,1920,0,0,0,0,0,0,0,0,0,0,0
Argentina,1920,0,10,0,0,9,0,0,0,0,0,0
Argentina,1920,0,0,0,0,0,0,0,0,0,0,0
Argentina,1920,0,6,0,19,0,0,0,0,0,0,0
Argentina,1920,0,52,0,4,0,0,0,0,0,0,0
Argentina,1920,0,3,0,0,0,0,0,0,0,24,0
Argentina,1920,0,8,0,8,0,0,0,0,0,0,0
Argentina,1920,0,3,0,0,0,0,0,0,0,0,0
Argentina,1920,0,1,0,0,0,0,0,0,0,0,0
Argentina,1920,0,0,0,15,0,0,0,0,0,0,0
Argentina,1921,0,0,0,1,0,0,0,0,0,0,0
Argentina,1921,0,0,400,0,0,0,0,0,0,0,0
Argentina,1921,0,0,10000,0,0,0,0,0,0,0,0
Argentina,1921,0,0,0,60,0,0,0,0,0,0,0
Argentina,1921,0,0,0,100,0,0,0,0,0,0,0
Argentina,1921,0,0,0,20,0,0,0,0,0,0,0
Argentina,1922,0,0,0,11,0,0,0,0,0,0,0
Argentina,1922,0,0,0,0,100,0,0,0,0,0,0
Argentina,1922,0,0,0,0,42,0,0,0,0,0,0
Argentina,1922,0,0,0,0,0,0,0,0,0,0,0
Argentina,1922,0,0,0,0,0,0,0,0,0,0,0
Argentina,1922,0,0,0,0,0,0,0,0,0,0,0
Argentina,1922,0,0,0,0,0,0,0,0,0,0,0
Argentina,1922,0,0,0,0,0,0,0,0,0,0,0
Argentina,1922,0,0,0,0,0,0,0,0,0,45,0
Argentina,1922,0,0,0,0,0,0,0,0,0,30,0
Armenia,1922,0,0,0,0,0,0,0,0,0,0,0
Armenia,1922,0,4,0,0,0,0,0,0,0,0,0
Armenia,1922,0,0,0,0,0,0,0,0,0,0,0
Armenia,1922,0,1,0,0,0,0,0,0,0,0,0
Armenia,1922,0,0,2890,0,0,0,0,0,0,0,0
Armenia,1922,0,0,0,0,0,0,0,0,0,0,0
Armenia,1922,0,0,0,0,0,0,0,0,0,0,0
Armenia,1923,0,0,0,0,0,0,0,0,0,0,0
Armenia,1923,0,0,0,0,0,0,0,0,0,0,0
Armenia,1923,0,0,0,0,0,0,0,0,0,0,0
Armenia,1923,0,0,0,0,0,0,0,0,0,0,0
Armenia,1923,0,0,0,0,0,0,0,0,0,0,0
Asia,1923,1250000,0,140,0,0,30,0,0,0,0,0
Asia,1923,500000,0,180000,0,0,0,0,0,0,0,0
